# Experiment File Name : 20180627_Burnham_TempVar_91-105_Run19.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2018-07-28 08:08:16 AM
# Instrument Type : StepOnePlus System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","91","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","39.0","false",
"A2","92","DWV","0.0","No Amp","UNKNOWN","Undetermined","33.761","-","1.52891873E10","2.576","-","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","39.0","false",
"A3","93","DWV","0.0","No Amp","UNKNOWN","Undetermined","34.01","-","1.52891873E10","2.193","-","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","39.0","false",
"A4","94","DWV","0.0","No Amp","UNKNOWN","Undetermined","32.486","-","1.52891873E10","5.882","-","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","39.0","false",
"A5","95","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","39.0","false",
"A6","96","DWV","1.333","Amp","UNKNOWN","31.962","32.949","1.396","8.257","5.278","4.212","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","28.0","false",
"A7","97","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","39.0","false",
"A8","98","DWV","1.332","Amp","UNKNOWN","29.644","30.215","0.808","37.02","27.347","13.679","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","25.0","false",
"A9","99","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","39.0","false",
"A10","100","DWV","1.334","Amp","UNKNOWN","32.210","32.21","-","7.032","7.032","-","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","28.0","false",
"A11","101","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","39.0","false",
"A12","102","DWV","1.325","Amp","UNKNOWN","31.639","31.569","0.098","10.178","10.656","0.676","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","27.0","false",
"B1","91","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","39.0","false",
"B2","92","DWV","1.182","Amp","UNKNOWN","33.761","33.761","-","2.576","2.576","-","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","29.0","false",
"B3","93","DWV","1.328","Amp","UNKNOWN","34.010","34.01","-","2.193","2.193","-","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","30.0","false",
"B4","94","DWV","1.308","Amp","UNKNOWN","32.486","32.486","-","5.882","5.882","-","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","28.0","false",
"B5","95","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","39.0","false",
"B6","96","DWV","1.338","Amp","UNKNOWN","33.936","32.949","1.396","2.3","5.278","4.212","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","30.0","false",
"B7","97","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","39.0","false",
"B8","98","DWV","1.321","Amp","UNKNOWN","30.786","30.215","0.808","17.674","27.347","13.679","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","27.0","false",
"B9","99","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","39.0","false",
"B10","100","DWV","0.0","No Amp","UNKNOWN","Undetermined","32.21","-","1.52891873E10","7.032","-","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","39.0","false",
"B11","101","DWV","0.616","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","35.0","false",
"B12","102","DWV","1.324","Amp","UNKNOWN","31.500","31.569","0.098","11.135","10.656","0.676","35.2228","0.993","-3.5567","91.05548","true","0.078","true","3.0","27.0","false",
"C1","91","BQCV","1.329","Amp","UNKNOWN","30.933","31.698","1.081","13.35","9.075","6.046","34.8074","0.9981","-3.4422","95.21442","true","0.114","true","3.0","26.0","false",
"C2","92","BQCV","1.324","Amp","UNKNOWN","20.646","22.317","2.364","13007.59","7198.597","8215.157","34.8074","0.9981","-3.4422","95.21442","true","0.114","true","3.0","16.0","false",
"C3","93","BQCV","1.326","Amp","UNKNOWN","27.835","29.64","2.553","106.062","57.771","68.294","34.8074","0.9981","-3.4422","95.21442","true","0.114","true","3.0","23.0","false",
"C4","94","BQCV","1.328","Amp","UNKNOWN","23.065","24.935","2.645","2578.65","1394.952","1674.003","34.8074","0.9981","-3.4422","95.21442","true","0.114","true","3.0","18.0","false",
"C5","95","BQCV","1.337","Amp","UNKNOWN","28.679","30.658","2.799","60.316","32.293","39.631","34.8074","0.9981","-3.4422","95.21442","true","0.114","true","3.0","24.0","false",
