# Experiment File Name : 20180605_Burnham_TempVar_19-33_Run14.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2018-07-28 08:08:18 AM
# Instrument Type : StepOnePlus System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","19","DWV","1.332","Amp","UNKNOWN","24.460","24.438","0.031","1062.023","1077.204","21.468","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","21.0","false",
"A2","20","DWV","1.325","Amp","UNKNOWN","28.306","28.37","0.09","88.035","84.562","4.912","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","24.0","false",
"A3","21","DWV","1.333","Amp","UNKNOWN","24.539","24.589","0.071","1008.796","977.16","44.74","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","21.0","false",
"A4","22","DWV","1.328","Amp","UNKNOWN","32.263","32.776","0.726","6.796","5.147","2.333","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","28.0","false",
"A5","23","DWV","0.0","No Amp","UNKNOWN","Undetermined","39.343","-","1.52891873E10","0.069","-","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","39.0","false",
"A6","24","DWV","0.0","No Amp","UNKNOWN","Undetermined","36.368","-","1.52891873E10","0.477","-","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","39.0","false",
"A7","25","DWV","0.0","No Amp","UNKNOWN","Undetermined","34.784","-","1.52891873E10","1.329","-","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","39.0","false",
"A8","26","DWV","1.341","Amp","UNKNOWN","28.698","28.788","0.126","68.296","64.575","5.262","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","25.0","false",
"A9","27","DWV","1.321","Amp","UNKNOWN","31.550","32.13","0.819","10.778","7.934","4.022","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","28.0","false",
"A10","28","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","39.0","false",
